H_INIT,V_INIT,TARGET,Kp,Ki,Kd,error
3000.0,343.0,5800.0,0.7051462342170967,3.530769368239807e-05,6.170401894540497e-06,0.0222315033643099
3000.0,411.6,5800.0,0.9799629625323247,7.98281610263074e-05,0.00027211139969196384,0.0031703839458714356
3000.0,411.6,7200.0,0.4674145392884074,8.037992819675742e-05,0.057267601477595576,0.0021701518353438587
3000.0,480.2,7200.0,0.21646336084102286,1.264679086555162e-05,1.8494373551655296e-06,0.001508271238890302
3000.0,480.2,8600.0,0.3877628423000891,0.00030081297735741914,0.5061470830820952,0.0010138142624782631
3000.0,548.8,7200.0,0.9205926051031842,1.2008134001611025e-05,0.01148857305004238,0.0020076094024261693
3000.0,548.8,8600.0,0.23048176819656316,1.8011196173020727e-05,0.002468476062479684,0.002593830215118942
3000.0,548.8,10000.0,0.07994094328403417,0.02093486762172769,0.00029347939615603346,46.73028547611102
3000.0,617.4,7200.0,0.9522713785825937,8.489036393171906e-06,0.0037901938647441763,4.970111604052363e-05
3000.0,617.4,8600.0,0.5669351568400667,1.3781856274907471e-05,2.644378411827067e-05,0.0012047214604535839
3000.0,617.4,10000.0,0.17743830086969622,2.5989406946883582e-05,3.2012573028416185e-05,0.005792599453343428
3000.0,686.0,7200.0,0.9515056391030112,9.277602212033947e-06,3.812852912467754e-06,0.013351721390790772
3000.0,686.0,8600.0,0.6419971309701995,3.5644898183442033e-06,0.0010375534789350295,0.001415593138517579
3000.0,686.0,10000.0,0.25152109056203925,1.0121125484364382e-05,1.1173924788340157e-06,0.008229611299611861
